2025-10-28 23:15:12 | INFO | mask_detector | Starting training run in /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade
2025-10-28 23:15:12 | INFO | mask_detector | Global seed set to 42
2025-10-28 23:15:12 | INFO | mask_detector | Scanning /Users/garrick/codes/Machine Learning Projects/Facemask Detection/archive/data/without_mask
2025-10-28 23:15:13 | INFO | mask_detector | Scanning /Users/garrick/codes/Machine Learning Projects/Facemask Detection/archive/data/with_mask
2025-10-28 23:15:14 | INFO | mask_detector | Discovered 7553 valid images across 2 classes
2025-10-28 23:15:14 | INFO | mask_detector | Split train has 4531 samples: {'without_mask': 2296, 'with_mask': 2235}
2025-10-28 23:15:14 | INFO | mask_detector | Split validation has 1511 samples: {'without_mask': 766, 'with_mask': 745}
2025-10-28 23:15:14 | INFO | mask_detector | Split test has 1511 samples: {'without_mask': 766, 'with_mask': 745}
2025-10-28 23:15:14 | INFO | mask_detector | TF datasets prepared | train steps=142, val steps=48, test steps=48
2025-10-28 23:15:14 | INFO | mask_detector | Model compiled with 2422210 parameters
2025-10-28 23:15:14 | INFO | mask_detector | TensorBoard logs directory: /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade/tensorboard
2025-10-28 23:17:44 | INFO | mask_detector | Epoch metrics saved to /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade/metrics/epoch_metrics.csv
2025-10-28 23:17:44 | INFO | mask_detector | Evaluating on test dataset
2025-10-28 23:17:47 | INFO | mask_detector | Test loss=0.0434, accuracy=0.9815
2025-10-28 23:17:50 | INFO | mask_detector | Classification report saved to /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade/metrics/classification_report.txt
2025-10-28 23:17:50 | INFO | mask_detector | Per-class metrics saved to /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade/metrics/per_class_metrics.csv
2025-10-28 23:17:50 | INFO | mask_detector | Normalized confusion matrix saved to /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade/metrics/confusion_matrix_normalized.csv
2025-10-28 23:17:50 | INFO | mask_detector | Metrics JSON saved to /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade/metrics/metrics.json
2025-10-28 23:17:50 | INFO | mask_detector | Metadata saved to /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade/metadata.json
2025-10-28 23:17:51 | INFO | mask_detector | Training history plot saved to /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade/plots/training_history_enhanced.png
2025-10-28 23:17:51 | INFO | mask_detector | Confusion matrix plot saved to /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade/plots/confusion_matrix_enhanced.png
2025-10-28 23:17:51 | INFO | mask_detector | Per-class metrics plot saved to /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade/plots/per_class_metrics.png
2025-10-28 23:17:51 | INFO | mask_detector | Learning rate schedule plot saved to /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade/plots/learning_rate_schedule.png
2025-10-28 23:17:51 | INFO | mask_detector | Class distribution plot saved to /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade/plots/class_distribution.png
2025-10-28 23:17:51 | INFO | mask_detector | ROC curve saved to /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade/plots/roc_curve.png
2025-10-28 23:17:51 | INFO | mask_detector | Precision-recall curve saved to /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade/plots/precision_recall_curve.png
2025-10-28 23:17:52 | INFO | mask_detector | Sample predictions grid saved to /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade/plots/sample_predictions.png
2025-10-28 23:17:53 | INFO | mask_detector | Interactive dashboard saved to /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade/plots/metrics_dashboard.html
2025-10-28 23:17:53 | INFO | mask_detector | Final model saved to /Users/garrick/codes/Machine Learning Projects/Facemask Detection/artifacts/20251028-231512-viz-upgrade/models/final_model.keras
2025-10-28 23:17:53 | INFO | mask_detector | Model exported to /Users/garrick/codes/Machine Learning Projects/Facemask Detection/models/best_model.keras
